,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
62,63,dbYX6GWgSAKDPDbPZYzq9A05971665557367,,,202210120877,,,7230捷豹电池盒底托/赛特电池盒底托/9620玉骑铃金鹰/7230S8/9620S8电池盒底托_,电瓶车-两轮.半成品.04958,7230捷豹电池盒底托/赛特电池盒底托/9620玉骑铃金鹰/7230S8/9620S8电池盒底托,,个,420,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋两次,B-二次成型,B-焊耳朵,B-点焊",,,B,2022-10-12,,进行中,,,,7230捷豹电池盒底托/赛特电池盒底托/9620玉骑铃金鹰/7230S8/9620S8电池盒底托_,2022-10-12,2022-10-12 14:49:27,杨萍,后勤部,7230捷豹电池盒底托/赛特电池盒底托/9620玉骑铃金鹰/7230S8/9620S8电池盒底托_
63,64,LhLQfo8HSUWN2I-z0c4O0g05971665557113,,,202210120876,,,7230牛3电池盒前挡板_,电瓶车-两轮.半成品.04991,7230牛3电池盒前挡板,,个,800,2022-10-12,2022-10-14,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-12,,进行中,,,,7230牛3电池盒前挡板_,2022-10-12,2022-10-12 14:45:13,杨萍,后勤部,7230牛3电池盒前挡板_
64,65,MUSU-QpwSjWIQNG0NAS6Jg05971665557079,,,202210120875,,,7230牛3电池盒后挡板_,电瓶车-两轮.半成品.04992,7230牛3电池盒后挡板,,个,800,2022-10-12,2022-10-14,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-12,,进行中,,,,7230牛3电池盒后挡板_,2022-10-12,2022-10-12 14:44:39,杨萍,后勤部,7230牛3电池盒后挡板_
65,66,CCljnIdtThC0wpRtLjwyUQ05971665556963,,,202210120874,,,7230牛3电池盒后底托_,电瓶车-两轮.半成品.04990,7230牛3电池盒后底托,,个,400,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋,B-单冲模-冲孔,B-焊帽子,B-三次成型",,,B,2022-10-12,,进行中,,,,7230牛3电池盒后底托_,2022-10-12,2022-10-12 14:42:43,杨萍,后勤部,7230牛3电池盒后底托_
66,67,JCcvSEw3Q6GBt-VFOkHahA05971665556933,,,202210120873,,,7230牛3电池盒前底托_,电瓶车-两轮.半成品.04989,7230牛3电池盒前底托,,个,400,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋,B-二次成型,B-点焊",,,B,2022-10-12,,进行中,,,,7230牛3电池盒前底托_,2022-10-12,2022-10-12 14:42:13,杨萍,后勤部,7230牛3电池盒前底托_
67,68,UW-k9ZP8Q_WXwH4J_c9dYw05971665556885,,,202210120872,,,金太子电池72/30_,电瓶车-两轮.成品.03563,金太子电池72/30,,个,44,2022-10-12,2022-10-14,"B-切口,B-压筋两次,B-压型两次,B-焊耳朵,B-点焊",,,B,2022-10-12,,进行中,,,,金太子电池72/30_,2022-10-12,2022-10-12 14:41:25,杨萍,后勤部,金太子电池72/30_
68,69,7_XtjY5iQXmmFXg9OPPo9w05971665556680,,,202210120871,,,9620赛沃电池盒底托2_,LL.04.05246,9620赛沃电池盒底托2,,个,480,2022-10-12,2022-10-15,"B-唐宇下料,B-压筋两次,B-点焊两次,B-焊耳朵四次,B-点焊",,,B,2022-10-12,,进行中,,,,9620赛沃电池盒底托2_,2022-10-13,2022-10-12 14:38:00,杨萍,后勤部,9620赛沃电池盒底托2_
69,70,29sQm6mxSD2-cnAi24ztCw05971665556593,,,202210120870,,,9620劲途电池盒底托_,电瓶车-两轮.成品.04982,9620劲途电池盒底托,,个,508,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋两次,B-二次成型,B-焊耳朵两次,B-点焊,B-压筋",,,B,2022-10-12,,进行中,,,,9620劲途电池盒底托,2022-10-12,2022-10-12 14:36:33,杨萍,后勤部,9620劲途电池盒底托
70,71,hJ3T_dZfToCFgeMnl8drJw05971665556492,,,202210120869,,,6020新博威电池盒前底托_,电瓶车-两轮.半成品.05013,6020新博威电池盒前底托,,个,720,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋,B-一次成型,B-点焊",,,B,2022-10-12,,进行中,,,,6020新博威电池盒前底托_,2022-10-12,2022-10-12 14:34:52,杨萍,后勤部,6020新博威电池盒前底托_
71,72,39ApYpuGSNep_93Dz_pLtw05971665556453,,,202210120868,,,6020新博威电池盒挡板_,电瓶车-两轮.半成品.05015,6020新博威电池盒挡板,,个,1440,2022-10-12,2022-10-14,"B-唐宇下料,B-切口,B-切角两次,B-四次成型",,,B,2022-10-12,,进行中,,,,6020新博威电池盒挡板_,2022-10-12,2022-10-12 14:34:13,杨萍,后勤部,6020新博威电池盒挡板_
72,73,_zeO2j1cTeCKFz8w752H0w05971665556377,,,202210120867,,,6020新博威电池盒后底托_,电瓶车-两轮.半成品.05014,6020新博威电池盒后底托,,个,720,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋,B-二次成型",,,B,2022-10-12,,进行中,,,,6020新博威电池盒后底托_,2022-10-12,2022-10-12 14:32:57,杨萍,后勤部,6020新博威电池盒后底托_
73,74,fkC7DSYdQy-dz6RcyP_2Vg05971665555136,,,202210120866,,,赛沃踏板中_,电瓶车-两轮.成品.03848,赛沃踏板中,,个,600,2022-10-12,2022-10-13,"B-激光切割,C-一次成型",,,B+C,2022-10-12,,进行中,,,,赛沃踏板中_,2022-10-12,2022-10-12 14:12:16,杨萍,后勤部,赛沃踏板中_
74,75,TWnpJfEeTr6bxe8anWZhEg05971665554020,,,202210120865,,,世纪雄风泥瓦右_,电瓶车-两轮.成品.03907,世纪雄风泥瓦右,,个,2000,2022-10-12,2022-10-14,D-连续模出成品,,,D,2022-10-12,,进行中,,,,世纪雄风泥瓦右_,2022-10-12,2022-10-12 13:53:40,张倩,后勤部,世纪雄风泥瓦右_
75,76,QQi07hz4RiSBXYrFJ7kopA05971665553969,,,202210120864,,,世纪雄风泥瓦左_,电瓶车-两轮.成品.03908,世纪雄风泥瓦左,,个,2000,2022-10-12,2022-10-14,D-连续模出成品,,,D,2022-10-12,,进行中,,,,世纪雄风泥瓦左_,2022-10-12,2022-10-12 13:52:49,张倩,后勤部,世纪雄风泥瓦左_
76,77,O-DZEMDDTEOSixGsdrTpfg05971665540030,,,202210120863,,,六孔明75加强片1.5_,防盗门.成品.01832,六孔明75加强片1.5,,kg,1000,2022-10-14,2022-10-17,"A-连续模下料,A-攻丝",,,A,2022-10-12,,进行中,,,,六孔明75加强片1.5_,2022-10-12,2022-10-12 10:00:30,张倩,后勤部,六孔明75加强片1.5_
77,78,RazPZnVKTaKH0TB6Rne8Mw05971665539974,,,202210120862,,,六孔正16加强片大孔1.2_,防盗门.成品.01837,六孔正16加强片大孔1.2,,kg,1000,2022-10-13,2022-10-16,"A-连续模下料,A-攻丝",,,A,2022-10-12,,进行中,,,,六孔正16加强片大孔1.2_,2022-10-12,2022-10-12 09:59:34,张倩,后勤部,六孔正16加强片大孔1.2_
78,79,2GWn7Hz1SyCkZ3pv8hdJfA05971665535625,成都巨伦,成都巨伦,202210120856,,,博威断电开关（中沙）_,LL.03.04719,博威断电开关（中沙）,,个,1000,2022-10-12,2022-10-15,A-连续模出成品,,,A,2022-10-12,,进行中,A组,A组,,博威断电开关（中沙）_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,博威断电开关（中沙）_
79,80,F7mYTKsfQm2f6Fcl2WKyMg05971665535625,成都巨伦,成都巨伦,202210120855,,,新博威电门锁_,电瓶车-两轮.成品.04085,新博威电门锁,,个,1000,2022-10-12,2022-10-15,"B-激光切割,C-一次成型",,,B+C,2022-10-12,,进行中,B组,B组,,新博威电门锁_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,新博威电门锁_
80,81,xWz13qQES5CI4z7fM8VSbg05971665535625,成都巨伦,成都巨伦,202210120857,,,博威双撑缓冲块支架_,电瓶车-两轮.成品.03404,博威双撑缓冲块支架,,个,1000,2022-10-12,2022-10-15,"B-激光切割,C-一次成型",,,B+C,2022-10-12,,进行中,B组,B组,,博威双撑缓冲块支架_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,博威双撑缓冲块支架_
81,82,IuLhlypoQaGXGrgfEOjc-w05971665535625,成都巨伦,成都巨伦,202210120860,,,佳悦停车架吊耳右_,电瓶车-两轮.成品.03547,佳悦停车架吊耳右,,个,5000,2022-10-12,2022-10-15,D-连续模出成品,,,D,2022-10-12,,进行中,D组,D组,,佳悦停车架吊耳右_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,佳悦停车架吊耳右_
82,83,AKMM91MRRI-5rugw2SU3sA05971665535625,成都巨伦,成都巨伦,202210120858,,,Q162-转换器支架_,电瓶车-两轮.成品.04520,Q162-转换器支架,,个,1000,2022-10-12,2022-10-15,"C-单冲模-落料,C-一次成型",,,D,2022-10-12,,进行中,C组,C组,,Q162-转换器支架_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,Q162-转换器支架_
83,84,Ky-T6xoeRzeN8LIZnCtgXw05971665535625,成都巨伦,成都巨伦,202210120859,,,佳悦停车架吊耳左_,电瓶车-两轮.成品.03548,佳悦停车架吊耳左,,个,5000,2022-10-12,2022-10-15,D-连续模出成品,,,D,2022-10-12,,进行中,D组,D组,,佳悦停车架吊耳左_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,佳悦停车架吊耳左_
84,85,g5JCU9TuTKKFG9Fhb1BNxQ05971665535625,成都巨伦,成都巨伦,202210120861,,,DQ1-500W/800W双撑缓冲垫支架_,电瓶车-两轮.成品.04241,DQ1-500W/800W双撑缓冲垫支架,,个,1400,2022-10-12,2022-10-15,D-连续模出成品,,,D,2022-10-12,,进行中,D组,D组,,DQ1-500W/800W双撑缓冲垫支架_,2022-10-12,2022-10-12 08:47:05,杨萍,后勤部,DQ1-500W/800W双撑缓冲垫支架_
85,86,z63UvDzcTaiDsML93CAdtA05971665481123,重庆巨伦,重庆巨伦,202210110852,,,巨伦双撑吊耳右_,电瓶车-两轮.成品.03612,巨伦双撑吊耳右,,个,3000,2022-10-11,2022-10-12,D-连续模出成品,,,D,2022-10-11,,进行中,D组,D组,,巨伦双撑吊耳右_,2022-10-11,2022-10-11 17:38:43,杨萍,后勤部,巨伦双撑吊耳右_
86,87,6eOYwf5sQzSHd2tbXTH-xQ05971665481123,凯迪菲,凯迪菲,202210110854,,,方形加强块_,电瓶车-两轮.成品.03449,方形加强块,,kg,1200,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-11,,进行中,D组,D组,,方形加强块_,2022-10-11,2022-10-11 17:38:43,杨萍,后勤部,方形加强块_
87,88,n2vpttLER8aNix3_tVYFSw05971665481123,重庆巨伦,重庆巨伦,202210110850,,,F169平叉减震吊耳_,电瓶车-两轮.成品.03338,F169平叉减震吊耳,,个,6000,2022-10-11,2022-10-12,"B-激光切割,C-一次成型",,,B+C,2022-10-11,,进行中,B组,B组,,F169平叉减震吊耳_,2022-10-11,2022-10-11 17:38:43,杨萍,后勤部,F169平叉减震吊耳_
88,89,297fTAUoRlaZWXCHhtBQlg05971665481123,凯迪菲,凯迪菲,202210110853,,,凯迪菲米彩安装支架_,电瓶车-两轮.成品.03640,凯迪菲米彩安装支架,,kg,400,2022-10-11,2022-10-16,"A-单冲模-落料,A-攻丝,A-一次成型,A-二次成型",,,A,2022-10-11,,进行中,A组,A组,,凯迪菲米彩安装支架_,2022-10-11,2022-10-11 17:38:43,杨萍,后勤部,凯迪菲米彩安装支架_
89,90,JLRnCjmWTf-0Sa334P01LQ05971665481123,重庆巨伦,重庆巨伦,202210110851,,,巨伦双撑吊耳左_,电瓶车-两轮.成品.03613,巨伦双撑吊耳左,,个,3000,2022-10-11,2022-10-12,D-连续模出成品,,,D,2022-10-11,,进行中,D组,D组,,巨伦双撑吊耳左_,2022-10-11,2022-10-11 17:38:43,杨萍,后勤部,巨伦双撑吊耳左_
90,91,WnrxHkMJQp6WyiwktiwMfg05971665480691,重庆巨伦,重庆巨伦,202210110849,,,博威双撑缓冲块支架_,电瓶车-两轮.成品.03404,博威双撑缓冲块支架,,个,3000,2022-10-11,2022-10-12,"B-激光切割,C-一次成型",,,B+C,2022-10-11,,进行中,B组,B组,,博威双撑缓冲块支架_,2022-10-11,2022-10-11 17:31:31,杨萍,后勤部,博威双撑缓冲块支架_
91,92,jK00CFtTRAWQ8ghcwIF__Q05971665479293,,,202210110848,,,3*84*180垫片_,市场.成品.02971,3*84*180垫片,,个,406,2022-10-11,2022-10-12,D-连续模出成品,,,D,2022-10-11,,进行中,,,,3*84*180垫片_,2022-10-12,2022-10-11 17:08:13,张倩,后勤部,3*84*180垫片_
92,93,6V5i39ZvSCmdPvdvYz_EzQ05971665478832,,,202210110847,,,12股U型扣2.0_,市场.成品.03059,12股U型扣2.0,,kg,3000,2022-10-14,2022-10-20,"E-边料机落料,E-一次成型",,,E,2022-10-11,,进行中,,,,12股U型扣2.0_,2022-10-11,2022-10-11 17:00:32,张倩,后勤部,12股U型扣2.0_
93,94,GaqtJNOqQa6Q-0EcpQL-VQ05971665478774,,,202210110846,,,9股U型扣2.0mm_,市场.成品.02873,9股U型扣2.0mm,,kg,3000,2022-10-12,2022-10-19,"E-边料机落料,E-一次成型",,,E,2022-10-11,,进行中,,,,9股U型扣2.0mm_,2022-10-11,2022-10-11 16:59:34,张倩,后勤部,9股U型扣2.0mm_
94,95,N7ZSvzTkQHaXE3fgYuAoow05971665473488,,,202210110845,,,支架（活门-小）_100*59.5*34,万控.成品.00700,支架（活门-小）,100*59.5*34,个,10000,2022-10-11,2022-10-18,"E-下料,E-冲孔切筋,E-冲孔切边,E-切缺",,,E,2022-10-11,,进行中,,,,支架（活门-小）_100*59.5*34,2022-10-11,2022-10-11 15:31:28,张倩,后勤部,支架（活门-小）_100*59.5*34
95,96,FYlNVh-XQdCXyWjIhk_WtQ05971665451412,,,202210110844,,,福盾70门扇把手支撑片_,防盗门.成品.01732,福盾70门扇把手支撑片,,根,500,2022-10-12,2022-10-12,"C-单冲模-落料,C-一次成型",,,C,2022-10-11,,进行中,,,,福盾70门扇把手支撑片_,2022-10-11,2022-10-11 09:23:32,张倩,后勤部,福盾70门扇把手支撑片_
96,97,jXKYghroS_GELqDNk_fnOA05971665451299,,,202210110843,,,50拉手安装板_,防盗门.成品.01499,50拉手安装板,,个,17000,2022-10-13,2022-10-17,"A-单冲模-落料,A-攻丝",,,A,2022-10-11,,进行中,,,,50拉手安装板_,2022-10-13,2022-10-11 09:21:39,张倩,后勤部,50拉手安装板_
97,98,8XdijGx-RhKPrnhrgD22Fw05971665448570,,,202210110842,,,后门铰链合页_,WK.03.05275,后门铰链合页,,个,7000,2022-10-11,2022-10-11,"D-连续模下料,E-镀锌",,,D+E,2022-10-11,,进行中,,,,后门铰链合页_,2022-10-11,2022-10-11 08:36:10,张倩,后勤部,后门铰链合页_
98,99,IFV4qQwhQwik-TJ_Qga4DA05971665448470,,,202210110841,,,支架（吊环）_105×40×40,万控.成品.00688,支架（吊环）,105×40×40,个,30000,2022-10-11,2022-10-14,D-连续模出成品,,,D,2022-10-11,,进行中,,,,支架（吊环）_105×40×40,2022-10-11,2022-10-11 08:34:30,张倩,后勤部,支架（吊环）_105×40×40
99,100,inZNcOZsStOeoyD3CrtLlw05971665390778,,,202210100840,,,F169平叉吊耳连续模_,MJ.02.05278,F169平叉吊耳连续模,,个,1,2022-10-10,2022-10-20,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-10,,进行中,,,,F169平叉吊耳连续模_,2022-10-10,2022-10-10 16:32:58,周琳,后勤部,F169平叉吊耳连续模_
100,101,DAcLJy8fSlmgGi4hL6gA7A05971665390739,,,202210100839,,,GGD刀旋梁堵头一次性成型模_,MJ.02.05279,GGD刀旋梁堵头一次性成型模,,个,1,2022-10-10,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-10,,进行中,,,,GGD刀旋梁堵头一次性成型模_,2022-10-10,2022-10-10 16:32:19,周琳,后勤部,GGD刀旋梁堵头一次性成型模_
101,102,9eEBx-6oRpmEpnpXMGZxtg05971665386849,,,202210100838,,,政宇电池盒_,MJ.02.05276,政宇电池盒,,个,1,2022-10-10,2022-10-30,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-10,,进行中,,,,政宇电池盒_,2022-10-10,2022-10-10 15:27:29,周琳,后勤部,政宇电池盒_
102,103,Ak6HXOvjQyGGfF28kWbb_w05971665386731,,,202210100825,,,巨轮双撑吊耳左_,电瓶车-两轮.成品.03613,巨轮双撑吊耳左,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,巨轮双撑吊耳左_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,巨轮双撑吊耳左_
103,104,RLY-hlsBTlWsnc9KYMb_NQ05971665386731,,,202210100837,,,铰链折页（三轮车合页2.75）_,电瓶车-两轮.成品.03550,铰链折页（三轮车合页2.75）,,个,24000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,,,,铰链折页（三轮车合页2.75）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,铰链折页（三轮车合页2.75）_
104,105,H3o-2J9BTDKz0iOabzUj2g05971665386731,,,202210100832,,,超级鹰面板支架_,电瓶车-两轮.成品.03409,超级鹰面板支架,,个,3000,2022-10-11,2022-10-16,"C-单冲模-落料,C-攻丝,C-一次成型",,,C,2022-10-10,,进行中,A组,A组,,超级鹰面板支架_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,超级鹰面板支架_
105,106,mN7XIgphRRewp4Il7JCWeA05971665386731,,,202210100829,,,通用平叉加强片_,电瓶车-两轮.成品.04620,通用平叉加强片,,个,30000,2022-10-11,2022-10-16,C-唐宇下料,,,C,2022-10-10,,进行中,C组,C组,,通用平叉加强片,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,通用平叉加强片
106,107,yMBL9AhVSvezvcptu5SGTw05971665386731,,,202210100815,,,志高电门锁_,电瓶车-两轮.成品.04170,志高电门锁,,个,10000,2022-10-11,2022-10-16,"C-单冲模-落料,C-一次成型",,,C,2022-10-10,,进行中,A组,A组,,志高电门锁_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,志高电门锁_
107,108,gGC9EE2YRVeU2fHDxLhCZQ05971665386731,,,202210100819,,,赛诺踏板前_,电瓶车-两轮.成品.03825,赛诺踏板前,,个,100,2022-10-11,2022-10-16,"D-连续模下料,A-一次成型",,,D+A,2022-10-10,,进行中,D组,D组,,赛诺踏板前_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,赛诺踏板前_
108,109,HjBJj4HJQY2qMqCpM094Ug05971665386731,,,202210100823,,,通用双撑脚踩杆_,电瓶车-两轮.成品.03965,通用双撑脚踩杆,,个,10000,2022-10-11,2022-10-16,"D-连续模下料,A-一次成型",,,D+A,2022-10-10,,进行中,D组,D组,,通用双撑脚踩杆_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,通用双撑脚踩杆_
109,110,7rhGEsBgTBOBy18hlSUkCA05971665386731,,,202210100816,,,Q312-双撑缓冲垫支架_,电瓶车-两轮.成品.04598,Q312-双撑缓冲垫支架,,个,5000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q312-双撑缓冲垫支架_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,Q312-双撑缓冲垫支架_
110,111,mksPfi0ORRaKLnq3uocuNg05971665386731,,,202210100818,,,捷豹坐桶支架_,电瓶车-两轮.成品.03557,捷豹坐桶支架,,个,100,2022-10-11,2022-10-16,"D-连续模下料,A-一次成型",,,D+A,2022-10-10,,进行中,D组,D组,,捷豹坐桶支架_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,捷豹坐桶支架_
111,112,0kTGZPRQQUybRIG9gIeHBw05971665386731,,,202210100817,,,劲途平叉缓冲块支架_,电瓶车-两轮.成品.03587,劲途平叉缓冲块支架,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,劲途平叉缓冲块支架_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,劲途平叉缓冲块支架_
112,113,akNfLopcSKuAhmLWRlD_QA05971665386731,,,202210100822,,,神鹰面板支架座（通用面板支架座）_,电瓶车-两轮.成品.03887,神鹰面板支架座（通用面板支架座）,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,神鹰面板支架座（通用面板支架座）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,神鹰面板支架座（通用面板支架座）_
113,114,K4iKKenOR8WLpJezHMp6MQ05971665386731,,,202210100824,,,巨轮双撑缓冲支架（新状态）_,电瓶车-两轮.成品.03614,巨轮双撑缓冲支架（新状态）,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,巨轮双撑缓冲支架（新状态）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,巨轮双撑缓冲支架（新状态）_
114,115,OprkZ4qrQGarinEQo2s5Qg05971665386731,,,202210100821,,,小赛诺后衣架安装板_,电瓶车-两轮.成品.04076,小赛诺后衣架安装板,,个,2000,2022-10-11,2022-10-16,B-激光切割,,,B,2022-10-10,,进行中,B组,B组,,小赛诺后衣架安装板_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,小赛诺后衣架安装板_
115,116,Hlbb3pYOTfekg_je8G_2Ug05971665386731,,,202210100828,,,小美景减震吊耳（通用减震吊耳/万鑫7#吊耳3.0mm）_,电瓶车-两轮.成品.04069,小美景减震吊耳（通用减震吊耳/万鑫7#吊耳3.0mm）,,个,20000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,小美景减震吊耳（通用减震吊耳/万鑫7#吊耳3.0mm）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,小美景减震吊耳（通用减震吊耳/万鑫7#吊耳3.0mm）_
116,117,7BEzRiz_Qze9LeFwPb2ORw05971665386731,,,202210100834,,,45折弯护板3.0_,电瓶车-两轮.成品.03222,45折弯护板3.0,,个,20000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,45折弯护板3.0,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,45折弯护板3.0
117,118,Bnzp1cRgRHqzY6gFOs6Tnw05971665386731,,,202210100826,,,巨轮双撑吊耳右_,电瓶车-两轮.成品.03612,巨轮双撑吊耳右,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,巨轮双撑吊耳右_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,巨轮双撑吊耳右_
118,119,ky9JwiQgRJ690iKzqNxy8w05971665386731,,,202210100830,,,45#限位块（巨伦）_,电瓶车-两轮.成品.03219,45#限位块（巨伦）,,个,5000,2022-10-11,2022-10-16,"C-单冲模-落料,C-一次成型",,,C,2022-10-10,,进行中,A组,A组,,45#限位块（巨伦）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,45#限位块（巨伦）_
119,120,_JP9aVEhS9e5MHunlrRpWw05971665386731,,,202210100820,,,小赛诺平叉护板后_,电瓶车-两轮.成品.04077,小赛诺平叉护板后,,个,4000,2022-10-11,2022-10-16,"B-激光切割,A-一次成型",,,B,2022-10-10,,进行中,B组,B组,,小赛诺平叉护板后_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,小赛诺平叉护板后_
120,121,HR4MMzLBTfGn98WQ1LJfwQ05971665386731,,,202210100831,,,巨伦名牌支架小_,电瓶车-两轮.成品.03607,巨伦名牌支架小,,个,10000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,巨伦名牌支架小_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,巨伦名牌支架小_
121,122,0oxnocvoQwG0FyijJi0Vig05971665386731,,,202210100827,,,电摩减震吊耳（通用L350/F586/F692平叉减震吊耳）_,电瓶车-两轮.成品.03447,电摩减震吊耳（通用L350/F586/F692平叉减震吊耳）,,个,20000,2022-10-11,2022-10-16,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,电摩减震吊耳（通用L350/F586/F692平叉减震吊耳）_,2022-10-11,2022-10-10 15:25:31,杨萍,后勤部,电摩减震吊耳（通用L350/F586/F692平叉减震吊耳）_
